calc_date,avg,n_calc,min,max
2020-02-02,10.37333178600441,8617,1.0,429.0
2020-02-09,12.566979522184301,9376,1.0,532.0
2020-02-16,14.224711056561317,9777,1.0,552.0
2020-02-23,15.224654263257387,10051,1.0,557.0
2020-03-01,15.436336924583742,10210,1.0,550.0
2020-03-08,15.537178865729521,10315,1.0,545.0
2020-03-15,15.550095602294455,10460,1.0,531.0
2020-03-22,15.554808147797253,10555,1.0,534.0
2020-03-29,15.674499157461149,10682,1.0,548.0
2020-04-05,15.718539688393104,10847,1.0,556.0
2020-04-12,15.728759654702408,11005,1.0,551.0
2020-04-19,15.767089059432447,11206,1.0,559.0
2020-04-26,15.873922982240197,11374,1.0,550.0
2020-05-03,15.901260141550146,11586,1.0,553.0
2020-05-10,15.761828590671831,11878,1.0,543.0
