calc_date,avg,n_calc,min,max
2020-02-02,55.71078482059767,9671,1.0,3022.0
2020-02-09,70.11361381226433,10078,1.0,3402.0
2020-02-16,80.71072704451096,10357,1.0,4707.0
2020-02-23,88.53156303156304,10582,1.0,5167.0
2020-03-01,89.95717205499814,10764,1.0,5207.0
2020-03-08,90.93511274735388,10865,1.0,6552.0
2020-03-15,91.66223355802514,10978,1.0,6561.0
2020-03-22,90.80179937022042,11115,1.0,6449.0
2020-03-29,92.02104512216872,11214,1.0,6472.0
2020-04-05,92.35309097295399,11388,1.0,6494.0
2020-04-12,92.47244977149263,11597,1.0,6469.0
2020-04-19,92.62496823918015,11807,1.0,6496.0
2020-04-26,93.71902065289807,12008,1.0,6545.0
2020-05-03,93.82663951120163,12275,1.0,6529.0
2020-05-10,92.93814761677028,12546,1.0,6463.0
